filename,n_gt,n_pred,tp,fp,fn,loc,category
fire1-555-_jpg.rf.ca3a3ee267635b8b932a87c06f73c496.jpg,1,1,1,0,0,0,true_positive
fire1-586-_jpg.rf.d8bd8fee9d96563b0886eabb7c15cf89.jpg,2,1,0,0,1,1,localization
fire1-588-_jpg.rf.6b69b42102a7ac6d05fd904929796244.jpg,4,2,0,1,3,1,localization
fire1-59-_jpg.rf.d0e31e40d63bd5820f9dd4ca4ea09e7e.jpg,1,1,1,0,0,0,true_positive
fire1-590-_jpg.rf.2cb2ade7baa43426aa20567c4f292ede.jpg,2,1,1,0,1,0,false_negative
fire1-590-_jpg.rf.88d2480a95d0b34f5038c259079f3351.jpg,2,1,1,0,1,0,false_negative
fire1-591-_jpg.rf.07ddafd4e7af3f93c59e0a24a55ec679.jpg,2,1,1,0,1,0,false_negative
fire1-592-_jpg.rf.02c99458b97565111bf9d2ce6d141d49.jpg,1,1,1,0,0,0,true_positive
fire1-593-_jpg.rf.8f010256afd65cd61c68144e3b10830c.jpg,2,1,1,0,1,0,false_negative
fire1-594-_jpg.rf.64707df39031f719a08d6d6147197352.jpg,4,2,1,0,2,1,localization
fire1-594-_jpg.rf.ea6cd9bfa0059ec9b3856c41d603ed7f.jpg,4,1,1,0,3,0,false_negative
fire1-631-_jpg.rf.afa054117f9e8e3860e2a56cd9f5fce9.jpg,8,1,1,0,7,0,false_negative
fire1-64-_jpg.rf.d4182611f5980620e050206ba1b8551d.jpg,1,1,1,0,0,0,true_positive
fire1-65-_jpg.rf.32389a2e740d996db90bc306d40a803e.jpg,1,1,1,0,0,0,true_positive
fire1-686-_jpg.rf.36a8e9764353783277eae6bc07db9dd1.jpg,7,1,0,0,6,1,localization
fire1-69-_jpg.rf.fa1301af7a40447f311d9b006dd39587.jpg,1,1,1,0,0,0,true_positive
fire1-70-_jpg.rf.b704b8dec649e298d7eaf5e12461ea84.jpg,1,1,1,0,0,0,true_positive
fire1-72-_jpg.rf.29f639019a8e120bca77a231c1ef90c3.jpg,1,1,1,0,0,0,true_positive
fire1-72-_jpg.rf.42808a5d93cc87ac835c1d229aa319af.jpg,1,1,1,0,0,0,true_positive
fire1-745-_jpg.rf.701de59bb8b2923804c2251d25ae9e99.jpg,8,2,0,1,7,1,localization
fire1-745-_jpg.rf.a7ce059863a190f7605eb82abc616afa.jpg,8,2,0,1,7,1,localization
fire1-75-_jpg.rf.08e1ed6124f3f33993b3b1d33624cf83.jpg,1,1,1,0,0,0,true_positive
fire1-76-_jpg.rf.a6405b2ca9287de8632035b9854ee7ca.jpg,1,1,1,0,0,0,true_positive
fire1-76-_jpg.rf.da60b30b1baddbf35daf250409431454.jpg,1,1,1,0,0,0,true_positive
fire1-770-_jpg.rf.59c69578dae5368282459985d2998ea2.jpg,1,1,0,0,0,1,localization
fire1-781-_jpg.rf.10703f0d7ed55a0e4b9808f00d011078.jpg,8,5,3,0,3,2,localization
fire1-81-_jpg.rf.5ccf4b2fa8a395471e0d699f0504d970.jpg,1,1,1,0,0,0,true_positive
fire1-831-_jpg.rf.284b37c7b35cb8d6f3700d3c02c937aa.jpg,1,1,1,0,0,0,true_positive
fire1-832-_jpg.rf.7940a5f8c2691ccefd9da0ca102e5ef9.jpg,1,1,1,0,0,0,true_positive
fire1-832-_jpg.rf.8fda3c4f40b1a38853e9903bca10c9be.jpg,1,1,1,0,0,0,true_positive
fire1-833-_jpg.rf.6b93e33727c0249fdad27ce756374863.jpg,1,1,1,0,0,0,true_positive
fire1-838-_jpg.rf.e5ef2580ccbbdb329d80ccfe47b01b58.jpg,2,1,1,0,1,0,false_negative
fire1-839-_jpg.rf.b0b9218151ffdc859a4090911598f6c2.jpg,1,1,1,0,0,0,true_positive
fire1-849-_jpg.rf.7d2215b71137c7f1882c3c8ff538b7d3.jpg,1,2,1,1,0,0,false_positive
fire1-852-_jpg.rf.cdaa814b6d0c3c2efe7b5e479326f2a2.jpg,1,3,0,2,0,1,localization
fire1-852-_jpg.rf.ef2df98e7208b76a57d35db516079854.jpg,1,1,1,0,0,0,true_positive
fire1-859-_jpg.rf.6cb63fb83bb9894d9f4163e610c9229a.jpg,1,1,1,0,0,0,true_positive
fire1-86-_jpg.rf.03a520126e724f77043e80d6a516257f.jpg,1,1,1,0,0,0,true_positive
fire1-87-_jpg.rf.97966b3d9190bdd70c1653c09e86e675.jpg,1,1,1,0,0,0,true_positive
fire1-89-_jpg.rf.3765ff81b1da59732ccd6e12c77bc52b.jpg,1,1,1,0,0,0,true_positive
fire1-9-_jpg.rf.25843210d93dd5ae3b73fabfdb6134d7.jpg,4,4,3,1,1,0,mixed_error
fire1-90-_jpg.rf.0824cfed5683bc06d448b4785d643500.jpg,1,1,1,0,0,0,true_positive
fire1-92-_jpg.rf.b061ae41a534d65031e836dcb5d89fc1.jpg,1,1,1,0,0,0,true_positive
fire1-921-_jpg.rf.0e30cfbc901ac1a161eb73c09e02a449.jpg,1,2,1,1,0,0,false_positive
fire1-926-_jpg.rf.327b1d856496a576d92f22d7b2203f9b.jpg,1,1,1,0,0,0,true_positive
fire1-94-_jpg.rf.3d3585569c2368c4256375eaf3b1bc00.jpg,1,1,1,0,0,0,true_positive
fire1-948-_jpg.rf.3e57745cf6166930fe5ba959b617e7da.jpg,7,6,4,1,2,1,localization
fire1-956-_jpg.rf.ca9f28f349fe9849dbf6e2c42c50e606.jpg,1,1,1,0,0,0,true_positive
fire1-97-_jpg.rf.69f37aa66e645a2e6c9a6f11a0034c83.jpg,1,1,1,0,0,0,true_positive
fire1-972-_jpg.rf.b096c8b57eb0d39220d594169fcd1a3f.jpg,2,4,2,2,0,0,false_positive
fire1-976-_jpg.rf.89352bb70beee330bc31d8bbe78c520f.jpg,4,4,3,1,1,0,mixed_error
Img_100_jpg.rf.6a8394ec78eca4592a880fdf632f206f.jpg,0,0,0,0,0,0,true_negative
Img_100_jpg.rf.c6b38a554dae142b3e1f8ac497f00da3.jpg,0,0,0,0,0,0,true_negative
Img_100_jpg.rf.e7f438194e6aa05abd1e4bcad326e10b.jpg,0,0,0,0,0,0,true_negative
Img_102_jpg.rf.6b88401bf5617c3820589781a8846e86.jpg,0,0,0,0,0,0,true_negative
Img_102_jpg.rf.bc5a58d5d30f6b2c347d60fed2a3f592.jpg,0,0,0,0,0,0,true_negative
Img_102_jpg.rf.c9d671fbeb0c44e003d55e20bda31da9.jpg,0,0,0,0,0,0,true_negative
Img_103_jpg.rf.41fbef3ea2517aa66ecb9c89a7be3d57.jpg,0,0,0,0,0,0,true_negative
Img_103_jpg.rf.5a8b8a5f2abd319d926bccdd8c6193d5.jpg,0,0,0,0,0,0,true_negative
